frame.time_epoch,ip.src,ip.dst,frame.len,tcp.port,udp.port,ip.proto,frame.time_delta,tcp.flags,ip.len,icmp.type,tcp.stream,tcp.seq,tcp.ack,ip.flags.df,tcp.window_size,ip.ttl,tcp.analysis.flags,http.request.uri,http.response.code
"1731512847.316936000",,,"126",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1731512847.316936000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.316936000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.316936000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.316936000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.316936000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.316936000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.316936000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.316936000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.414285000",,,"60",,,,"0.097349000",,,,,,,,,,,,
"1731512847.658608000","172.16.124.102","224.0.0.251","85",,"5353,5353","17","0.244323000",,"71",,,,,"False",,"1",,,
"1731512847.658608000",,,"105",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1731512847.658608000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.658608000","172.16.121.160","224.0.0.251","81",,"5353,5353","17","0.000000000",,"67",,,,,"False",,"1",,,
"1731512847.658608000","172.16.121.160","224.0.0.251","91",,"5353,5353","17","0.000000000",,"77",,,,,"False",,"1",,,
"1731512847.658608000","172.16.121.160","224.0.0.251","81",,"5353,5353","17","0.000000000",,"67",,,,,"False",,"1",,,
"1731512847.658608000","172.16.121.160","224.0.0.251","91",,"5353,5353","17","0.000000000",,"77",,,,,"False",,"1",,,
"1731512847.658608000","172.16.121.160","224.0.0.251","81",,"5353,5353","17","0.000000000",,"67",,,,,"False",,"1",,,
"1731512847.658608000","172.16.121.160","224.0.0.251","91",,"5353,5353","17","0.000000000",,"77",,,,,"False",,"1",,,
"1731512847.658608000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.658608000","172.16.121.209","224.0.0.251","459",,"5353,5353","17","0.000000000",,"445",,,,,"False",,"255",,,
"1731512847.658608000",,,"72",,,,"0.000000000",,,,,,,,,,,,
"1731512847.658608000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1731512847.658608000",,,"157",,"546,547",,"0.000000000",,,,,,,,,,,,
"1731512847.717206000",,,"90",,,,"0.058598000",,,,,,,,,,,,
"1731512847.717206000",,,"90",,,,"0.000000000",,,,,,,,,,,,
